date,day,waitTime
5/31/2017,Wednesday,150
5/31/2017,Wednesday,150
5/31/2017,Wednesday,150
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,150
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,120
5/31/2017,Wednesday,70
5/31/2017,Wednesday,90
5/31/2017,Wednesday,90
5/31/2017,Wednesday,90
5/31/2017,Wednesday,110
5/31/2017,Wednesday,110
5/31/2017,Wednesday,110
5/31/2017,Wednesday,110
5/31/2017,Wednesday,110
5/31/2017,Wednesday,90
5/31/2017,Wednesday,75
5/31/2017,Wednesday,75
5/31/2017,Wednesday,75
5/31/2017,Wednesday,75
5/31/2017,Wednesday,75
5/31/2017,Wednesday,75
5/31/2017,Wednesday,60
5/31/2017,Wednesday,60
5/31/2017,Wednesday,60
5/31/2017,Wednesday,40
5/31/2017,Wednesday,40
6/1/2017,Thursday,5
6/1/2017,Thursday,5
6/1/2017,Thursday,25
6/1/2017,Thursday,60
6/1/2017,Thursday,60
6/1/2017,Thursday,60
6/1/2017,Thursday,35
6/1/2017,Thursday,150
6/1/2017,Thursday,150
6/1/2017,Thursday,150
6/1/2017,Thursday,150
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,65
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,210
6/1/2017,Thursday,180
6/1/2017,Thursday,180
